datetime,scenario,requests
2023-01-07T19:00:00.000000,normal,8224
2023-01-07T20:00:00.000000,normal,8595
2023-01-07T21:00:00.000000,normal,6997
2023-01-07T22:00:00.000000,normal,6060
2023-01-07T23:00:00.000000,normal,5329
2023-01-08T00:00:00.000000,normal,2341
2023-01-08T01:00:00.000000,normal,1479
2023-01-08T02:00:00.000000,normal,1093
2023-01-08T03:00:00.000000,normal,734
2023-01-08T04:00:00.000000,normal,793
2023-01-08T05:00:00.000000,normal,1240
2023-01-08T06:00:00.000000,normal,2466
2023-01-08T07:00:00.000000,normal,5197
2023-01-08T08:00:00.000000,normal,7209
2023-01-08T09:00:00.000000,normal,10995
2023-01-08T10:00:00.000000,normal,10124
2023-01-08T11:00:00.000000,normal,14246
2023-01-08T12:00:00.000000,normal,12750
2023-01-08T13:00:00.000000,normal,10239
2023-01-08T14:00:00.000000,normal,9286
2023-01-08T15:00:00.000000,normal,10063
2023-01-08T16:00:00.000000,normal,8603
2023-01-08T17:00:00.000000,normal,8571
2023-01-08T18:00:00.000000,normal,7540
2023-01-08T19:00:00.000000,normal,6353
2023-01-08T20:00:00.000000,normal,5125
2023-01-08T21:00:00.000000,normal,4072
2023-01-08T22:00:00.000000,normal,3821
2023-01-08T23:00:00.000000,normal,3474
2023-01-09T00:00:00.000000,normal,5883
2023-01-09T01:00:00.000000,normal,3361
2023-01-09T02:00:00.000000,normal,2929
2023-01-09T03:00:00.000000,normal,1993
2023-01-09T04:00:00.000000,normal,1750
2023-01-09T05:00:00.000000,normal,2924
2023-01-09T06:00:00.000000,normal,5793
2023-01-09T07:00:00.000000,normal,10203
2023-01-09T08:00:00.000000,normal,17898
2023-01-09T09:00:00.000000,normal,24332
2023-01-09T10:00:00.000000,normal,27663
2023-01-09T11:00:00.000000,normal,29712
2023-01-09T12:00:00.000000,normal,24832
2023-01-09T13:00:00.000000,normal,24359
2023-01-09T14:00:00.000000,normal,26245
2023-01-09T15:00:00.000000,normal,24223
2023-01-09T16:00:00.000000,normal,22207
2023-01-09T17:00:00.000000,normal,26597
2023-01-09T18:00:00.000000,normal,18266
2023-01-09T19:00:00.000000,normal,17104
2023-01-09T20:00:00.000000,normal,14722
2023-01-09T21:00:00.000000,normal,12270
2023-01-09T22:00:00.000000,normal,9297
2023-01-09T23:00:00.000000,normal,8262
2023-01-10T00:00:00.000000,normal,4871
2023-01-10T01:00:00.000000,normal,3436
2023-01-10T02:00:00.000000,normal,2511
2023-01-10T03:00:00.000000,normal,1774
2023-01-10T04:00:00.000000,normal,2167
2023-01-10T05:00:00.000000,normal,2147
2023-01-10T06:00:00.000000,normal,5642
2023-01-10T07:00:00.000000,normal,8856
2023-01-10T08:00:00.000000,normal,15092
2023-01-10T09:00:00.000000,normal,23419
2023-01-10T10:00:00.000000,normal,23027
2023-01-10T11:00:00.000000,normal,21984
2023-01-10T12:00:00.000000,normal,24511
2023-01-10T13:00:00.000000,normal,26314
2023-01-10T14:00:00.000000,normal,21208
2023-01-10T15:00:00.000000,normal,21577
2023-01-10T16:00:00.000000,normal,19448
2023-01-10T17:00:00.000000,normal,16453
2023-01-10T18:00:00.000000,normal,19236
2023-01-10T19:00:00.000000,normal,14972
2023-01-10T20:00:00.000000,normal,9825
2023-01-10T21:00:00.000000,normal,10756
2023-01-10T22:00:00.000000,normal,8217
2023-01-10T23:00:00.000000,normal,7640
2023-01-11T00:00:00.000000,normal,4419
2023-01-11T01:00:00.000000,normal,3163
2023-01-11T02:00:00.000000,normal,2521
2023-01-11T03:00:00.000000,normal,1738
2023-01-11T04:00:00.000000,normal,1407
2023-01-11T05:00:00.000000,normal,2319
2023-01-11T06:00:00.000000,normal,4572
2023-01-11T07:00:00.000000,normal,8972
2023-01-11T08:00:00.000000,normal,16942
2023-01-11T09:00:00.000000,normal,19977
2023-01-11T10:00:00.000000,normal,18177
2023-01-11T11:00:00.000000,normal,24456
2023-01-11T12:00:00.000000,normal,29093
2023-01-11T13:00:00.000000,normal,24712
2023-01-11T14:00:00.000000,normal,17639
2023-01-11T15:00:00.000000,normal,18270
2023-01-11T16:00:00.000000,normal,19829
2023-01-11T17:00:00.000000,normal,14867
2023-01-11T18:00:00.000000,normal,15039
2023-01-11T19:00:00.000000,normal,13791
2023-01-11T20:00:00.000000,normal,10161
2023-01-11T21:00:00.000000,normal,9542
2023-01-11T22:00:00.000000,normal,5406
2023-01-11T23:00:00.000000,normal,5744
2023-01-12T00:00:00.000000,normal,4678
2023-01-12T01:00:00.000000,normal,2800
2023-01-12T02:00:00.000000,normal,2791
2023-01-12T03:00:00.000000,normal,1371
2023-01-12T04:00:00.000000,normal,1529
2023-01-12T05:00:00.000000,normal,2431
2023-01-12T06:00:00.000000,normal,5491
2023-01-12T07:00:00.000000,normal,8221
2023-01-12T08:00:00.000000,normal,16074
2023-01-12T09:00:00.000000,normal,19219
2023-01-12T10:00:00.000000,normal,18758
2023-01-12T11:00:00.000000,normal,23435
2023-01-12T12:00:00.000000,normal,24477
2023-01-12T13:00:00.000000,normal,21055
2023-01-12T14:00:00.000000,normal,20945
2023-01-12T15:00:00.000000,normal,18460
2023-01-12T16:00:00.000000,normal,17799
2023-01-12T17:00:00.000000,normal,17059
2023-01-12T18:00:00.000000,normal,16683
2023-01-12T19:00:00.000000,normal,11215
2023-01-12T20:00:00.000000,normal,13588
2023-01-12T21:00:00.000000,normal,7725
2023-01-12T22:00:00.000000,normal,7878
2023-01-12T23:00:00.000000,normal,6776
2023-01-13T00:00:00.000000,normal,5428
2023-01-13T01:00:00.000000,normal,3300
2023-01-13T02:00:00.000000,normal,2585
2023-01-13T03:00:00.000000,normal,1673
2023-01-13T04:00:00.000000,normal,1656
2023-01-13T05:00:00.000000,normal,2864
2023-01-13T06:00:00.000000,normal,5468
2023-01-13T07:00:00.000000,normal,9828
2023-01-13T08:00:00.000000,normal,17264
2023-01-13T09:00:00.000000,normal,21769
2023-01-13T10:00:00.000000,normal,24739
2023-01-13T11:00:00.000000,normal,26191
2023-01-13T12:00:00.000000,normal,24211
2023-01-13T13:00:00.000000,normal,23259
2023-01-13T14:00:00.000000,normal,24589
2023-01-13T15:00:00.000000,normal,22409
2023-01-13T16:00:00.000000,normal,19319
2023-01-13T17:00:00.000000,normal,17806
2023-01-13T18:00:00.000000,normal,17863
2023-01-13T19:00:00.000000,normal,13247
2023-01-13T20:00:00.000000,normal,12994
2023-01-13T21:00:00.000000,normal,10346
2023-01-13T22:00:00.000000,normal,8608
2023-01-13T23:00:00.000000,normal,7813
2023-01-14T00:00:00.000000,normal,3637
2023-01-14T01:00:00.000000,normal,2422
2023-01-14T02:00:00.000000,normal,1899
2023-01-14T03:00:00.000000,normal,1122
2023-01-14T04:00:00.000000,normal,1196
2023-01-14T05:00:00.000000,normal,1627
2023-01-14T06:00:00.000000,normal,3468
2023-01-14T07:00:00.000000,normal,6632
2023-01-14T08:00:00.000000,normal,10177
2023-01-14T09:00:00.000000,normal,14239
2023-01-14T10:00:00.000000,normal,13368
2023-01-14T11:00:00.000000,normal,18960
2023-01-14T12:00:00.000000,normal,15109
2023-01-14T13:00:00.000000,normal,13776
2023-01-14T14:00:00.000000,normal,16246
2023-01-14T15:00:00.000000,normal,14503
2023-01-14T16:00:00.000000,normal,13088
2023-01-14T17:00:00.000000,normal,11903
2023-01-14T18:00:00.000000,normal,10067
2023-01-14T19:00:00.000000,normal,8156
2023-01-14T20:00:00.000000,normal,7899
2023-01-14T21:00:00.000000,normal,6264
2023-01-14T22:00:00.000000,normal,6146
2023-01-14T23:00:00.000000,normal,4414
2023-01-15T00:00:00.000000,normal,2201
2023-01-15T01:00:00.000000,normal,1548
2023-01-15T02:00:00.000000,normal,1249
2023-01-15T03:00:00.000000,normal,754
2023-01-15T04:00:00.000000,normal,734
2023-01-15T05:00:00.000000,normal,1229
2023-01-15T06:00:00.000000,normal,2458
2023-01-15T07:00:00.000000,normal,4556
2023-01-15T08:00:00.000000,normal,6860
2023-01-15T09:00:00.000000,normal,9822
2023-01-15T10:00:00.000000,normal,8893
2023-01-15T11:00:00.000000,normal,9623
2023-01-15T12:00:00.000000,normal,11137
2023-01-15T13:00:00.000000,normal,10960
2023-01-15T14:00:00.000000,normal,10723
2023-01-15T15:00:00.000000,normal,11016
2023-01-15T16:00:00.000000,normal,9554
2023-01-15T17:00:00.000000,normal,7872
2023-01-15T18:00:00.000000,normal,7186
2023-01-15T19:00:00.000000,normal,5758
2023-01-15T20:00:00.000000,normal,5589
2023-01-15T21:00:00.000000,normal,4661
2023-01-15T22:00:00.000000,normal,4129
2023-01-15T23:00:00.000000,normal,2935
2023-01-16T00:00:00.000000,normal,6059
2023-01-16T01:00:00.000000,normal,4428
2023-01-16T02:00:00.000000,normal,2848
2023-01-16T03:00:00.000000,normal,1997
2023-01-16T04:00:00.000000,normal,2052
2023-01-16T05:00:00.000000,normal,2764
2023-01-16T06:00:00.000000,normal,5889
2023-01-16T07:00:00.000000,normal,11534
2023-01-16T08:00:00.000000,normal,17448
2023-01-16T09:00:00.000000,normal,21258
2023-01-16T10:00:00.000000,normal,25021
2023-01-16T11:00:00.000000,normal,28218
2023-01-16T12:00:00.000000,normal,32979
2023-01-16T13:00:00.000000,normal,29458
2023-01-16T14:00:00.000000,normal,30334
2023-01-16T15:00:00.000000,normal,21272
2023-01-16T16:00:00.000000,normal,22962
2023-01-16T17:00:00.000000,normal,19552
2023-01-16T18:00:00.000000,normal,21063
2023-01-16T19:00:00.000000,normal,14118
2023-01-16T20:00:00.000000,normal,12311
2023-01-16T21:00:00.000000,normal,10829
2023-01-16T22:00:00.000000,normal,7561
2023-01-16T23:00:00.000000,normal,7276
2023-01-17T00:00:00.000000,normal,4879
2023-01-17T01:00:00.000000,normal,3572
2023-01-17T02:00:00.000000,normal,2730
2023-01-17T03:00:00.000000,normal,2090
2023-01-17T04:00:00.000000,normal,1927
2023-01-17T05:00:00.000000,normal,2487
2023-01-17T06:00:00.000000,normal,4805
2023-01-17T07:00:00.000000,normal,11079
2023-01-17T08:00:00.000000,normal,13748
2023-01-17T09:00:00.000000,normal,24988
2023-01-17T10:00:00.000000,normal,25578
2023-01-17T11:00:00.000000,normal,23483
2023-01-17T12:00:00.000000,normal,21877
2023-01-17T13:00:00.000000,normal,27975
2023-01-17T14:00:00.000000,normal,22617
2023-01-17T15:00:00.000000,normal,23734
2023-01-17T16:00:00.000000,normal,16273
2023-01-17T17:00:00.000000,normal,16545
2023-01-17T18:00:00.000000,normal,15848
2023-01-17T19:00:00.000000,normal,14146
2023-01-17T20:00:00.000000,normal,11765
2023-01-17T21:00:00.000000,normal,11217
2023-01-17T22:00:00.000000,normal,7860
2023-01-17T23:00:00.000000,normal,6939
2023-01-18T00:00:00.000000,normal,4857
2023-01-18T01:00:00.000000,normal,3364
2023-01-18T02:00:00.000000,normal,2570
2023-01-18T03:00:00.000000,normal,1420
2023-01-18T04:00:00.000000,normal,1354
2023-01-18T05:00:00.000000,normal,2706
2023-01-18T06:00:00.000000,normal,4959
2023-01-18T07:00:00.000000,normal,8881
2023-01-18T08:00:00.000000,normal,16633
2023-01-18T09:00:00.000000,normal,19422
2023-01-18T10:00:00.000000,normal,23252
2023-01-18T11:00:00.000000,normal,22551
2023-01-18T12:00:00.000000,normal,28945
2023-01-18T13:00:00.000000,normal,26331
2023-01-18T14:00:00.000000,normal,20282
2023-01-18T15:00:00.000000,normal,21065
2023-01-18T16:00:00.000000,normal,18735
2023-01-18T17:00:00.000000,normal,18189
2023-01-18T18:00:00.000000,normal,13010
2023-01-18T19:00:00.000000,normal,13678
2023-01-18T20:00:00.000000,normal,12385
2023-01-18T21:00:00.000000,normal,7911
2023-01-18T22:00:00.000000,normal,7053
2023-01-18T23:00:00.000000,normal,5094
2023-01-19T00:00:00.000000,normal,4670
2023-01-19T01:00:00.000000,normal,3429
2023-01-19T02:00:00.000000,normal,2760
2023-01-19T03:00:00.000000,normal,1611
2023-01-19T04:00:00.000000,normal,1860
2023-01-19T05:00:00.000000,normal,2068
2023-01-19T06:00:00.000000,normal,3982
2023-01-19T07:00:00.000000,normal,9546
2023-01-19T08:00:00.000000,normal,14953
2023-01-19T09:00:00.000000,normal,19137
2023-01-19T10:00:00.000000,normal,16499
2023-01-19T11:00:00.000000,normal,22200
2023-01-19T12:00:00.000000,normal,20869
2023-01-19T13:00:00.000000,normal,23900
2023-01-19T14:00:00.000000,normal,21562
2023-01-19T15:00:00.000000,normal,17395
2023-01-19T16:00:00.000000,normal,16695
2023-01-19T17:00:00.000000,normal,14305
2023-01-19T18:00:00.000000,normal,14309
2023-01-19T19:00:00.000000,normal,14022
2023-01-19T20:00:00.000000,normal,10095
2023-01-19T21:00:00.000000,normal,10083
2023-01-19T22:00:00.000000,normal,7575
2023-01-19T23:00:00.000000,normal,5892
2023-01-20T00:00:00.000000,normal,5223
2023-01-20T01:00:00.000000,normal,3155
2023-01-20T02:00:00.000000,normal,2493
2023-01-20T03:00:00.000000,normal,1549
2023-01-20T04:00:00.000000,normal,2105
2023-01-20T05:00:00.000000,normal,2649
2023-01-20T06:00:00.000000,normal,4910
2023-01-20T07:00:00.000000,normal,10785
2023-01-20T08:00:00.000000,normal,15662
2023-01-20T09:00:00.000000,normal,20653
2023-01-20T10:00:00.000000,normal,24285
2023-01-20T11:00:00.000000,normal,26506
2023-01-20T12:00:00.000000,normal,24999
2023-01-20T13:00:00.000000,normal,23221
2023-01-20T14:00:00.000000,normal,22250
2023-01-20T15:00:00.000000,normal,16258
2023-01-20T16:00:00.000000,normal,16426
2023-01-20T17:00:00.000000,normal,20005
2023-01-20T18:00:00.000000,normal,18445
2023-01-20T19:00:00.000000,normal,13729
2023-01-20T20:00:00.000000,normal,13030
2023-01-20T21:00:00.000000,normal,10888
2023-01-20T22:00:00.000000,normal,11509
2023-01-20T23:00:00.000000,normal,7828
2023-01-21T00:00:00.000000,normal,3317
2023-01-21T01:00:00.000000,normal,2025
2023-01-21T02:00:00.000000,normal,1410
2023-01-21T03:00:00.000000,normal,1142
2023-01-21T04:00:00.000000,normal,1035
2023-01-21T05:00:00.000000,normal,1441
2023-01-21T06:00:00.000000,normal,3142
2023-01-21T07:00:00.000000,normal,5993
2023-01-21T08:00:00.000000,normal,11780
2023-01-21T09:00:00.000000,normal,14624
2023-01-21T10:00:00.000000,normal,14548
2023-01-21T11:00:00.000000,normal,18000
2023-01-21T12:00:00.000000,normal,16929
2023-01-21T13:00:00.000000,normal,14329
2023-01-21T14:00:00.000000,normal,16777
2023-01-21T15:00:00.000000,normal,14164
2023-01-21T16:00:00.000000,normal,11042
2023-01-21T17:00:00.000000,normal,10986
2023-01-21T18:00:00.000000,normal,9197
2023-01-21T19:00:00.000000,normal,7721
2023-01-21T20:00:00.000000,normal,8566
2023-01-21T21:00:00.000000,normal,8003
2023-01-21T22:00:00.000000,normal,4816
2023-01-21T23:00:00.000000,normal,4732
2023-01-22T00:00:00.000000,normal,2243
2023-01-22T01:00:00.000000,normal,1522
2023-01-22T02:00:00.000000,normal,1128
2023-01-22T03:00:00.000000,normal,730
2023-01-22T04:00:00.000000,normal,803
2023-01-22T05:00:00.000000,normal,1100
2023-01-22T06:00:00.000000,normal,2464
2023-01-22T07:00:00.000000,normal,4775
2023-01-22T08:00:00.000000,normal,7027
2023-01-22T09:00:00.000000,normal,8728
2023-01-22T10:00:00.000000,normal,9800
2023-01-22T11:00:00.000000,normal,12046
2023-01-22T12:00:00.000000,normal,12601
2023-01-22T13:00:00.000000,normal,10105
2023-01-22T14:00:00.000000,normal,10503
2023-01-22T15:00:00.000000,normal,10321
2023-01-22T16:00:00.000000,normal,7330
2023-01-22T17:00:00.000000,normal,8434
2023-01-22T18:00:00.000000,normal,6722
2023-01-22T19:00:00.000000,normal,6765
2023-01-22T20:00:00.000000,normal,5172
2023-01-22T21:00:00.000000,normal,3933
2023-01-22T22:00:00.000000,normal,3348
2023-01-22T23:00:00.000000,normal,3215
2023-01-23T00:00:00.000000,normal,5909
2023-01-23T01:00:00.000000,normal,3492
2023-01-23T02:00:00.000000,normal,3063
2023-01-23T03:00:00.000000,normal,1600
2023-01-23T04:00:00.000000,normal,1907
2023-01-23T05:00:00.000000,normal,2531
2023-01-23T06:00:00.000000,normal,5384
2023-01-23T07:00:00.000000,normal,11574
2023-01-23T08:00:00.000000,normal,15793
2023-01-23T09:00:00.000000,normal,22153
2023-01-23T10:00:00.000000,normal,27471
2023-01-23T11:00:00.000000,normal,25329
2023-01-23T12:00:00.000000,normal,31206
2023-01-23T13:00:00.000000,normal,23843
2023-01-23T14:00:00.000000,normal,26282
2023-01-23T15:00:00.000000,normal,26361
2023-01-23T16:00:00.000000,normal,15899
2023-01-23T17:00:00.000000,normal,17669
2023-01-23T18:00:00.000000,normal,18277
2023-01-23T19:00:00.000000,normal,15048
2023-01-23T20:00:00.000000,normal,13938
2023-01-23T21:00:00.000000,normal,10824
2023-01-23T22:00:00.000000,normal,9683
2023-01-23T23:00:00.000000,normal,7560
2023-01-24T00:00:00.000000,normal,5896
2023-01-24T01:00:00.000000,normal,3609
2023-01-24T02:00:00.000000,normal,2729
2023-01-24T03:00:00.000000,normal,1687
2023-01-24T04:00:00.000000,normal,1674
2023-01-24T05:00:00.000000,normal,2525
2023-01-24T06:00:00.000000,normal,5488
2023-01-24T07:00:00.000000,normal,10115
2023-01-24T08:00:00.000000,normal,16299
2023-01-24T09:00:00.000000,normal,25503
2023-01-24T10:00:00.000000,normal,24873
2023-01-24T11:00:00.000000,normal,23836
2023-01-24T12:00:00.000000,normal,29571
2023-01-24T13:00:00.000000,normal,23634
2023-01-24T14:00:00.000000,normal,18216
2023-01-24T15:00:00.000000,normal,18990
2023-01-24T16:00:00.000000,normal,15738
2023-01-24T17:00:00.000000,normal,16981
2023-01-24T18:00:00.000000,normal,15869
2023-01-24T19:00:00.000000,normal,16440
2023-01-24T20:00:00.000000,normal,12722
2023-01-24T21:00:00.000000,normal,10328
2023-01-24T22:00:00.000000,normal,9529
2023-01-24T23:00:00.000000,normal,5483
2023-01-25T00:00:00.000000,normal,4913
2023-01-25T01:00:00.000000,normal,3446
2023-01-25T02:00:00.000000,normal,2045
2023-01-25T03:00:00.000000,normal,1783
2023-01-25T04:00:00.000000,normal,1654
2023-01-25T05:00:00.000000,normal,2300
2023-01-25T06:00:00.000000,normal,5103
2023-01-25T07:00:00.000000,normal,11779
2023-01-25T08:00:00.000000,normal,14661
2023-01-25T09:00:00.000000,normal,19676
2023-01-25T10:00:00.000000,normal,19844
2023-01-25T11:00:00.000000,normal,20496
2023-01-25T12:00:00.000000,normal,25992
2023-01-25T13:00:00.000000,normal,20482
2023-01-25T14:00:00.000000,normal,20948
2023-01-25T15:00:00.000000,normal,18282
2023-01-25T16:00:00.000000,normal,18443
2023-01-25T17:00:00.000000,normal,16533
2023-01-25T18:00:00.000000,normal,15894
2023-01-25T19:00:00.000000,normal,12147
2023-01-25T20:00:00.000000,normal,10897
2023-01-25T21:00:00.000000,normal,8660
2023-01-25T22:00:00.000000,normal,7644
2023-01-25T23:00:00.000000,normal,6641
2023-01-26T00:00:00.000000,normal,5163
2023-01-26T01:00:00.000000,normal,2904
2023-01-26T02:00:00.000000,normal,2608
2023-01-26T03:00:00.000000,normal,1816
2023-01-26T04:00:00.000000,normal,1666
2023-01-26T05:00:00.000000,normal,2850
2023-01-26T06:00:00.000000,normal,4428
2023-01-26T07:00:00.000000,normal,8405
2023-01-26T08:00:00.000000,normal,11838
2023-01-26T09:00:00.000000,normal,22072
2023-01-26T10:00:00.000000,normal,22161
2023-01-26T11:00:00.000000,normal,22275
2023-01-26T12:00:00.000000,normal,24671
2023-01-26T13:00:00.000000,normal,19878
2023-01-26T14:00:00.000000,normal,25887
2023-01-26T15:00:00.000000,normal,19448
2023-01-26T16:00:00.000000,normal,17792
2023-01-26T17:00:00.000000,normal,17161
2023-01-26T18:00:00.000000,normal,15092
2023-01-26T19:00:00.000000,normal,13086
2023-01-26T20:00:00.000000,normal,10314
2023-01-26T21:00:00.000000,normal,10052
2023-01-26T22:00:00.000000,normal,9505
2023-01-26T23:00:00.000000,normal,7261
2023-01-27T00:00:00.000000,normal,6121
2023-01-27T01:00:00.000000,normal,3340
2023-01-27T02:00:00.000000,normal,2378
2023-01-27T03:00:00.000000,normal,1737
2023-01-27T04:00:00.000000,normal,1769
2023-01-27T05:00:00.000000,normal,2928
2023-01-27T06:00:00.000000,normal,4386
2023-01-27T07:00:00.000000,normal,12175
2023-01-27T08:00:00.000000,normal,15589
2023-01-27T09:00:00.000000,normal,20218
2023-01-27T10:00:00.000000,normal,20564
